session_id,user_id,session_start,session_duration,device_type,location,pages_visited,revenue
session_000117,user_0233,2024-10-17 00:22:01,400,mobile,UK,13,0.0
session_000118,user_0926,2024-01-12 05:48:28,218,mobile,US,5,0.0
session_000119,user_0580,2024-09-21 18:50:24,3276,desktop,CA,3,0.0
session_000120,user_0510,2024-12-20 12:10:59,2418,desktop,DE,8,322.5732691917486
session_000121,user_0923,2024-04-21 16:55:17,2805,tablet,CA,2,0.0
session_000122,user_0707,2024-04-07 03:05:03,1901,mobile,DE,7,0.0
session_000123,user_0589,2024-04-24 21:43:49,2894,mobile,US,14,0.0
session_000124,user_0933,2024-08-23 12:07:05,3082,mobile,FR,13,0.0
session_000125,user_0636,2024-04-07 08:00:39,2806,tablet,CA,11,57.61032560965279
session_000126,user_0035,2024-08-13 02:01:09,1524,tablet,CA,2,0.0
session_000127,user_0136,2024-11-01 10:49:50,2239,mobile,IN,9,457.6086174960315
session_000128,user_0991,2024-11-09 05:01:03,1238,tablet,JP,13,0.0
session_000129,user_0881,2024-09-19 15:47:38,2996,tablet,AU,14,0.0
session_000130,user_0271,2024-07-27 09:12:59,536,mobile,JP,11,0.0
session_000131,user_0111,2024-09-19 01:55:57,987,mobile,US,10,0.0
session_000132,user_0664,2024-01-25 13:13:31,2632,mobile,FR,11,0.0
session_000133,user_0505,2024-02-15 02:19:16,428,desktop,IN,3,191.79564258857252
session_000134,user_0430,2024-08-16 02:24:31,3070,tablet,CA,15,0.0
session_000135,user_0962,2024-04-18 15:22:01,164,tablet,JP,4,0.0
session_000136,user_0703,2024-05-22 15:48:35,2260,tablet,JP,1,205.0884249447428
session_000137,user_0094,2024-09-14 09:27:08,898,tablet,MX,1,494.52224293129666
session_000138,user_0211,2024-01-27 15:29:34,3428,tablet,DE,10,0.0
session_000139,user_0808,2024-12-15 17:33:27,2471,desktop,FR,14,0.0
session_000140,user_0113,2024-09-13 17:30:13,3578,desktop,CA,1,0.0
session_000141,user_0179,2024-04-13 01:24:16,244,desktop,AU,9,0.0
session_000142,user_0526,2024-08-18 13:22:06,476,mobile,IN,4,31.248868080594136
session_000143,user_0309,2024-06-26 21:15:56,2665,desktop,US,8,425.17628615194894
session_000144,user_0076,2024-12-15 05:46:25,360,mobile,MX,3,144.75783978339706
session_000145,user_0730,2024-05-06 06:56:52,1590,tablet,IN,5,0.0
session_000146,user_0874,2024-09-11 06:22:01,2696,tablet,DE,7,231.26190882298795
session_000147,user_0409,2024-06-10 13:18:16,3018,desktop,JP,7,163.1365498595152
session_000148,user_0069,2024-02-05 10:16:35,3436,desktop,UK,7,372.01003925947066
session_000149,user_0062,2024-08-15 18:15:02,2330,tablet,JP,11,0.0
session_000150,user_0889,2024-12-21 16:16:54,2983,desktop,FR,10,0.0
session_000151,user_0673,2024-07-06 06:19:51,948,desktop,JP,14,0.0
session_000152,user_0827,2024-06-15 15:37:03,3491,tablet,MX,10,0.0
session_000153,user_0030,2024-03-11 01:35:58,1149,tablet,FR,15,436.2327262028547
session_000154,user_0674,2024-06-04 15:34:51,315,desktop,US,2,0.0
session_000155,user_0162,2024-05-23 17:08:41,1306,tablet,JP,13,0.0
session_000156,user_0162,2024-10-19 23:51:07,2560,desktop,UK,5,0.0
session_000157,user_0280,2024-03-24 17:14:54,3122,tablet,UK,6,220.65768036496627
session_000158,user_0540,2024-09-16 02:07:34,1293,desktop,DE,7,0.0
session_000159,user_0786,2024-02-23 07:07:15,3160,mobile,FR,6,0.0
session_000160,user_0390,2024-07-25 20:01:38,2912,desktop,IN,9,0.0
session_000161,user_0447,2024-01-08 06:41:01,1913,desktop,JP,10,0.0
session_000162,user_0118,2024-06-06 07:10:29,115,mobile,CA,13,0.0
session_000163,user_0091,2024-06-18 14:26:55,3489,desktop,DE,7,0.0
session_000164,user_0764,2024-05-11 20:29:35,937,mobile,CA,2,0.0
session_000165,user_0360,2024-10-09 11:39:52,3384,tablet,CA,4,0.0
session_000166,user_0779,2024-10-21 19:48:46,2714,desktop,CA,13,286.2303868110463
session_000167,user_0460,2024-09-21 12:37:26,2342,tablet,MX,6,0.0
session_000168,user_0481,2024-06-20 17:40:40,2616,mobile,FR,10,37.52433890440824
session_000169,user_0039,2024-01-23 02:15:13,1540,mobile,UK,11,429.0937520134842
session_000170,user_0394,2024-06-28 16:47:06,2407,tablet,US,8,102.23733788392028
session_000171,user_0488,2024-07-13 17:04:55,647,desktop,BR,2,0.0
session_000172,user_0517,2024-09-07 22:20:27,736,desktop,DE,12,0.0
session_000173,user_0373,2024-05-24 19:13:56,1188,mobile,AU,13,0.0
session_000174,user_0068,2024-05-08 00:56:26,417,tablet,AU,5,482.56091404041587
session_000175,user_0895,2024-02-28 09:34:51,1395,desktop,MX,11,0.0
session_000176,user_0133,2024-08-19 02:11:10,2933,desktop,FR,9,397.9143593531363
session_000177,user_0096,2024-09-07 21:23:15,2776,mobile,IN,6,0.0
session_000178,user_0971,2024-10-24 13:05:36,2021,desktop,DE,3,154.93812981076468
session_000179,user_0790,2024-07-28 15:01:41,3450,tablet,IN,1,312.8354180918189
session_000180,user_0386,2024-02-29 21:44:23,694,desktop,MX,13,0.0
session_000181,user_0693,2024-10-06 11:01:28,1002,mobile,MX,5,0.0
session_000182,user_0317,2024-11-10 00:55:14,3242,mobile,DE,6,0.0
session_000183,user_0797,2024-05-28 07:18:32,2089,tablet,AU,3,0.0
session_000184,user_0054,2024-09-06 00:13:18,1998,mobile,IN,15,0.0
session_000185,user_0086,2024-10-23 08:45:51,686,mobile,BR,15,0.0
session_000186,user_0837,2024-06-24 04:49:03,1461,desktop,AU,1,0.0
session_000187,user_0384,2024-03-28 04:51:10,145,mobile,UK,14,0.0
session_000188,user_0294,2024-12-22 06:45:07,3428,mobile,CA,13,0.0
session_000189,user_0020,2024-04-09 09:23:02,913,desktop,IN,12,0.0
session_000190,user_0309,2024-02-17 07:42:32,225,desktop,AU,11,399.01056323332466
session_000191,user_0612,2024-07-27 04:23:00,97,tablet,IN,10,220.32705762063352
session_000192,user_0362,2024-04-03 10:13:16,2367,mobile,CA,11,266.50743326232356
session_000193,user_0558,2024-07-16 00:38:12,3251,tablet,IN,1,0.0
session_000194,user_0260,2024-10-17 05:29:43,96,mobile,UK,6,60.79529507484784
session_000195,user_0753,2024-10-20 20:45:31,1391,desktop,US,6,277.54673515176887
session_000196,user_0713,2024-07-04 20:14:01,2617,desktop,CA,2,0.0
session_000197,user_0045,2024-11-03 05:40:20,847,desktop,JP,15,161.93718263907698
session_000198,user_0260,2024-01-15 05:19:49,3115,tablet,DE,5,0.0
session_000199,user_0280,2024-02-18 08:11:28,3304,mobile,AU,15,0.0
session_000200,user_0998,2024-03-13 13:15:45,2062,tablet,BR,6,0.0
session_000201,user_0081,2024-06-16 05:32:58,2497,desktop,IN,5,0.0
session_000202,user_0457,2024-08-22 00:50:26,2969,mobile,CA,12,0.0
session_000203,user_0630,2024-06-17 21:56:21,1154,tablet,US,2,0.0
session_000204,user_0976,2024-01-13 02:15:05,614,tablet,BR,1,0.0
session_000205,user_0393,2024-08-08 07:06:11,162,tablet,CA,11,0.0
session_000206,user_0588,2024-02-23 11:24:41,2198,mobile,AU,6,0.0
session_000207,user_0512,2024-07-20 01:44:08,1615,tablet,UK,5,115.13950845762267
session_000208,user_0293,2024-09-26 12:22:06,2041,desktop,UK,3,427.8848822883181
session_000209,user_0090,2024-11-10 18:31:50,2823,mobile,JP,12,0.0
session_000210,user_0729,2024-10-02 13:36:49,2898,tablet,CA,13,0.0
session_000211,user_0243,2024-11-02 22:48:39,2053,desktop,JP,9,0.0
session_000212,user_0627,2024-12-09 09:46:27,383,desktop,FR,7,0.0
session_000213,user_0844,2024-08-11 06:27:40,332,desktop,JP,11,0.0
session_000214,user_0900,2024-11-17 23:20:26,3225,tablet,MX,3,0.0
session_000215,user_0852,2024-02-18 05:15:55,2152,desktop,FR,3,468.0215399531479
session_000216,user_0917,2024-04-20 07:31:19,3494,desktop,FR,4,0.0
session_000217,user_0630,2024-07-26 04:22:32,412,tablet,CA,10,332.7791079580396
session_000218,user_0346,2024-11-23 04:56:55,2338,desktop,US,2,0.0
session_000219,user_0786,2024-08-10 04:42:18,1736,tablet,US,8,0.0
session_000220,user_0495,2024-04-05 02:25:39,3326,tablet,AU,5,0.0
session_000221,user_0496,2024-06-29 08:54:52,865,mobile,MX,3,0.0
session_000222,user_0999,2024-06-03 20:18:29,565,mobile,IN,9,62.030127468457664
session_000223,user_0254,2024-02-24 17:04:29,426,desktop,FR,7,0.0
session_000224,user_0834,2024-05-07 03:55:22,2396,tablet,JP,4,383.929473817928
session_000225,user_0901,2024-04-29 19:48:20,2067,desktop,UK,7,0.0
session_000226,user_0050,2024-01-20 15:04:14,1182,mobile,MX,15,0.0
session_000227,user_0868,2024-02-11 17:56:43,1795,desktop,FR,12,0.0
session_000228,user_0584,2024-08-06 04:30:45,827,mobile,IN,5,0.0
session_000229,user_0846,2024-08-30 01:01:57,2816,tablet,UK,3,0.0
session_000230,user_0572,2024-12-30 15:38:05,1527,desktop,DE,10,0.0
session_000231,user_0731,2024-05-09 08:09:51,3323,mobile,IN,8,78.49268302845405
session_000232,user_0327,2024-03-04 02:37:43,1639,tablet,FR,10,270.8465166391794
session_000233,user_0307,2024-07-03 10:19:11,3371,desktop,JP,6,0.0
session_000234,user_0612,2024-07-03 07:30:05,1117,tablet,MX,10,35.164030908989936
session_000235,user_0645,2024-10-07 01:54:40,2568,mobile,CA,14,0.0
session_000236,user_0196,2024-01-08 08:30:32,1836,mobile,AU,3,255.89155725938397
session_000237,user_0943,2024-07-02 03:40:53,3504,tablet,US,12,77.66041803475301
session_000238,user_0539,2024-05-26 08:15:41,1315,desktop,BR,15,0.0
session_000239,user_0625,2024-07-07 00:53:08,817,desktop,FR,9,0.0
session_000240,user_0722,2024-03-21 11:58:08,2857,tablet,BR,6,0.0
session_000241,user_0295,2024-02-17 07:56:56,2378,tablet,IN,7,0.0
session_000242,user_0298,2024-01-17 08:05:17,1208,tablet,UK,6,0.0
session_000243,user_0207,2024-11-17 13:04:09,2236,mobile,IN,12,0.0
session_000244,user_0249,2024-01-20 17:10:05,2773,tablet,DE,11,124.08991430491685
session_000245,user_0103,2024-09-21 13:10:10,3187,desktop,US,9,489.1762487982127
session_000246,user_0489,2024-09-09 15:27:36,846,mobile,JP,5,53.835753050643
session_000247,user_0238,2024-07-26 19:58:50,3055,tablet,US,15,0.0
session_000248,user_0857,2024-06-03 04:15:27,3257,mobile,CA,15,0.0
session_000249,user_0010,2024-04-25 21:13:01,2356,tablet,UK,15,149.43520965152268
session_000250,user_0537,2024-07-10 19:35:50,579,tablet,BR,5,104.47758515416679
session_000251,user_0664,2024-04-09 21:52:56,2973,desktop,US,12,0.0
session_000252,user_0180,2024-08-25 06:30:31,3536,tablet,AU,14,0.0
session_000253,user_0190,2024-02-24 14:35:51,1985,mobile,DE,1,0.0
session_000254,user_0310,2024-08-14 04:55:39,2990,tablet,US,5,0.0
session_000255,user_0477,2024-04-29 03:38:32,684,mobile,IN,15,0.0
session_000256,user_0655,2024-12-21 18:57:14,1238,mobile,MX,4,85.06092669769781
session_000257,user_0383,2024-06-10 11:57:43,2905,tablet,BR,13,0.0
session_000258,user_0697,2024-10-20 02:40:56,2470,desktop,IN,8,0.0
session_000259,user_0064,2024-11-17 20:44:02,2273,tablet,DE,10,272.9634775476729
session_000260,user_0120,2024-09-21 04:48:40,871,tablet,MX,8,54.56140578132704
session_000261,user_0136,2024-07-18 07:48:59,1731,mobile,MX,1,0.0
session_000262,user_0406,2024-04-08 19:42:47,3374,desktop,DE,10,217.61171854152633
session_000263,user_0062,2024-12-28 22:56:34,312,mobile,US,5,0.0
session_000264,user_0384,2024-12-12 03:49:52,1596,mobile,AU,7,0.0
session_000265,user_0670,2024-11-30 02:27:07,1454,desktop,CA,9,0.0
session_000266,user_0775,2024-01-09 19:54:30,1252,mobile,IN,7,0.0
session_000267,user_0159,2024-04-17 01:14:30,802,tablet,UK,1,0.0
session_000268,user_0247,2024-03-21 00:49:11,305,desktop,MX,1,0.0
session_000269,user_0759,2024-01-18 04:18:58,1677,mobile,DE,9,433.2278189083276
session_000270,user_0297,2024-03-31 22:32:36,3371,tablet,MX,6,0.0
session_000271,user_0310,2024-12-06 07:19:10,616,tablet,IN,4,282.7918778715649
session_000272,user_0901,2024-10-12 12:40:24,747,tablet,AU,9,0.0
session_000273,user_0805,2024-07-22 16:21:00,1335,tablet,AU,7,83.1166278343302
session_000274,user_0247,2024-11-25 20:25:52,953,mobile,CA,13,0.0
session_000275,user_0571,2024-07-24 19:52:54,579,mobile,DE,5,0.0
session_000276,user_0095,2024-07-27 00:29:06,2997,desktop,US,5,0.0
session_000277,user_0193,2024-11-08 11:53:14,3149,tablet,IN,4,0.0
session_000278,user_0217,2024-12-29 22:57:43,808,tablet,UK,12,128.87065910441333
session_000279,user_0721,2024-03-20 10:12:02,1654,desktop,IN,6,0.0
session_000280,user_0316,2024-04-11 13:55:51,1503,tablet,BR,8,0.0
session_000281,user_0937,2024-03-19 21:17:07,1548,mobile,AU,1,0.0
session_000282,user_0567,2024-12-29 00:34:42,2422,tablet,AU,5,0.0
session_000283,user_0512,2024-08-01 20:21:37,2711,tablet,JP,5,384.0467065764967
session_000284,user_0472,2024-03-06 08:03:04,3031,mobile,CA,3,249.27499741452488
session_000285,user_0658,2024-01-23 19:25:20,2176,desktop,UK,14,0.0
session_000286,user_0070,2024-10-01 15:17:53,648,desktop,DE,9,322.4870099627213
session_000287,user_0935,2024-07-06 15:47:20,2730,mobile,US,1,0.0
session_000288,user_0549,2024-04-21 08:07:51,100,tablet,AU,13,97.84075209824773
session_000289,user_0153,2024-04-03 13:59:32,816,tablet,IN,5,0.0
session_000290,user_0983,2024-06-06 16:26:59,1910,tablet,DE,12,0.0
session_000291,user_0096,2024-06-06 09:28:03,1583,mobile,IN,8,37.4963201731932
session_000292,user_0866,2024-06-17 12:19:51,2671,mobile,MX,14,0.0
session_000293,user_0217,2024-12-16 00:28:22,3585,tablet,MX,8,0.0
session_000294,user_0921,2024-07-29 21:24:46,2338,tablet,US,3,481.11990303924284
session_000295,user_0148,2024-10-19 03:31:11,3391,tablet,AU,15,0.0
session_000296,user_0694,2024-12-14 04:13:32,2244,mobile,AU,13,0.0
session_000297,user_0513,2024-10-16 12:09:31,1446,desktop,UK,7,306.5326841683147
session_000298,user_0978,2024-08-19 07:28:30,1654,mobile,US,11,0.0
session_000299,user_0567,2024-05-25 19:13:59,1798,desktop,MX,11,0.0
session_000300,user_0731,2024-01-29 13:07:55,366,mobile,CA,7,0.0
session_000301,user_0370,2024-02-11 09:07:35,404,desktop,FR,8,0.0
session_000302,user_0442,2024-06-23 07:31:34,2311,tablet,IN,7,281.56770464481025
session_000303,user_0613,2024-10-31 15:29:55,1358,mobile,US,5,391.7928617559579
session_000304,user_0927,2024-04-04 06:31:27,2372,tablet,CA,11,196.55869150948413
session_000305,user_0150,2024-01-25 13:41:33,714,mobile,FR,7,0.0
session_000306,user_0739,2024-08-30 17:44:10,2060,tablet,MX,4,0.0
session_000307,user_0341,2024-11-22 20:24:19,2570,mobile,JP,8,431.15914887940926
session_000308,user_0140,2024-04-26 16:15:35,1343,tablet,DE,8,0.0
session_000309,user_0753,2024-09-26 21:28:33,2622,mobile,MX,13,0.0
session_000310,user_0374,2024-02-14 05:30:41,2339,desktop,MX,9,98.16433417826286
session_000311,user_0966,2024-10-02 02:27:34,888,mobile,FR,14,0.0
session_000312,user_0690,2024-07-12 21:50:35,600,tablet,FR,4,0.0
session_000313,user_0076,2024-06-23 09:36:18,2479,mobile,MX,7,0.0
session_000314,user_0557,2024-01-15 06:40:34,3268,mobile,IN,10,0.0
session_000315,user_0171,2024-09-08 06:28:32,2539,desktop,MX,11,0.0
session_000316,user_0109,2024-01-05 02:18:44,433,mobile,DE,9,0.0
session_000317,user_0457,2024-05-25 07:02:49,1632,mobile,MX,12,0.0
session_000318,user_0303,2024-06-10 13:10:19,381,desktop,CA,6,162.8262685097953
session_000319,user_0357,2024-07-03 22:09:23,429,mobile,BR,6,0.0
session_000320,user_0870,2024-05-13 05:43:05,2684,desktop,CA,15,0.0
session_000321,user_0339,2024-08-05 10:10:13,1776,mobile,DE,13,0.0
session_000322,user_0406,2024-01-12 08:05:30,3050,tablet,DE,8,0.0
session_000323,user_0286,2024-10-19 04:10:54,2912,desktop,MX,2,0.0
session_000324,user_0469,2024-02-14 06:08:14,1104,tablet,BR,9,0.0
session_000325,user_0602,2024-02-14 08:43:12,1455,mobile,BR,10,402.3005577605066
session_000326,user_0605,2024-02-02 21:56:44,2782,desktop,JP,2,0.0
session_000327,user_0524,2024-05-30 20:44:24,1743,tablet,CA,10,0.0
session_000328,user_0569,2024-03-05 19:17:57,2035,mobile,CA,3,0.0
session_000329,user_0975,2024-01-04 17:19:26,2014,desktop,DE,14,0.0
session_000330,user_0702,2024-07-09 23:13:02,1732,tablet,BR,8,0.0
session_000331,user_0300,2024-01-13 16:44:25,1155,desktop,IN,5,92.42239894392111
session_000332,user_0563,2024-07-17 09:03:24,493,tablet,UK,5,0.0
session_000333,user_0779,2024-10-06 05:22:53,1837,tablet,DE,7,0.0
session_000334,user_0896,2024-01-13 12:24:32,1872,mobile,JP,14,0.0
session_000335,user_0215,2024-11-10 20:17:49,3051,tablet,JP,14,0.0
session_000336,user_0804,2024-03-21 05:50:05,3362,desktop,US,10,0.0
session_000337,user_0721,2024-04-23 15:33:11,1215,tablet,FR,14,0.0
session_000338,user_0986,2024-10-18 07:23:02,3248,mobile,US,5,0.0
session_000339,user_0150,2024-10-03 06:40:50,1349,desktop,AU,8,0.0
session_000340,user_0463,2024-01-30 07:51:45,2625,desktop,AU,9,377.4031676078631
session_000341,user_0974,2024-07-08 12:54:15,1370,tablet,US,14,389.3262923144697
session_000342,user_0651,2024-09-14 22:16:08,2886,mobile,UK,13,0.0
session_000343,user_0507,2024-04-14 06:56:41,1352,mobile,JP,9,0.0
session_000344,user_0916,2024-09-22 01:50:42,3152,desktop,US,2,0.0
session_000345,user_0452,2024-06-26 07:03:26,32,mobile,DE,12,0.0
session_000346,user_0096,2024-09-11 05:12:07,1506,mobile,UK,6,0.0
session_000347,user_0744,2024-09-28 15:15:57,3123,desktop,AU,11,0.0
session_000348,user_0136,2024-08-18 13:29:38,956,tablet,BR,1,0.0
