event_id,session_id,user_id,event_time,event_type,page_type,device_type,location,value,user_agent,referrer
event_000017,session_002918,user_0015,2024-12-02 14:57:28,page_view,home,tablet,DE,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000018,session_002750,user_0188,2024-12-03 17:21:11,signup,home,desktop,UK,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000019,session_004810,user_0683,2024-10-14 14:35:16,scroll,about,mobile,DE,87.41403810071652,Mozilla/5.0 (mobile) Browser/1.0,email
event_000020,session_000304,user_0927,2024-04-04 06:57:41,signup,search,tablet,CA,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000021,session_003580,user_0746,2024-06-23 14:07:26,login,home,tablet,AU,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000022,session_003225,user_0609,2024-09-30 10:03:05,purchase,support,desktop,IN,14.010468029102451,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
event_000023,session_002493,user_0433,2024-10-20 10:20:51,login,product,tablet,JP,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000024,session_001809,user_0682,2024-04-13 06:31:09,login,product,tablet,US,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000025,session_001507,user_0989,2024-02-15 05:27:36,signup,support,desktop,MX,0.0,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
event_000026,session_004976,user_0467,2024-06-21 13:54:01,page_view,home,mobile,UK,21.171885424627156,Mozilla/5.0 (mobile) Browser/1.0,email
event_000027,session_000148,user_0069,2024-02-05 10:35:14,logout,about,desktop,UK,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000028,session_000855,user_0735,2024-11-23 20:44:06,page_view,support,desktop,MX,43.75301230768089,Mozilla/5.0 (desktop) Browser/1.0,email
event_000029,session_004747,user_0671,2024-11-23 15:48:26,add_to_cart,profile,tablet,US,82.46348277770849,Mozilla/5.0 (tablet) Browser/1.0,email
event_000030,session_004104,user_0610,2024-01-29 08:17:45,logout,support,mobile,DE,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000031,session_000840,user_0031,2024-02-08 16:37:27,page_view,profile,desktop,UK,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000032,session_002408,user_0608,2024-06-23 19:48:52,click,checkout,desktop,AU,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000033,session_000447,user_0147,2024-05-02 21:01:21,logout,search,tablet,CA,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000034,session_003154,user_0024,2024-11-02 19:21:17,login,about,desktop,IN,15.478754688859864,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000035,session_001794,user_0706,2024-08-16 00:52:43,click,checkout,mobile,BR,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000036,session_004100,user_0948,2024-05-20 09:16:59,logout,checkout,tablet,JP,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000037,session_004784,user_0157,2024-12-14 07:54:22,add_to_cart,search,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000038,session_000304,user_0927,2024-04-04 07:09:21,page_view,about,tablet,CA,90.37431048716614,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000039,session_000733,user_0309,2024-07-03 23:30:22,add_to_cart,product,tablet,DE,0.0,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000040,session_002275,user_0323,2024-03-13 05:05:21,logout,product,desktop,US,90.82310704141663,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000041,session_003668,user_0170,2024-05-05 02:23:34,logout,blog,mobile,US,26.49090831167422,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000042,session_003030,user_0813,2024-01-02 22:26:13,logout,search,mobile,MX,34.50016132160063,Mozilla/5.0 (mobile) Browser/1.0,email
event_000043,session_001175,user_0164,2024-08-10 02:38:44,logout,search,tablet,US,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000044,session_002104,user_0725,2024-07-30 00:37:27,click,profile,desktop,CA,0.0,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000045,session_004568,user_0514,2024-05-04 05:47:24,signup,about,tablet,FR,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000046,session_000171,user_0488,2024-07-13 17:15:12,purchase,profile,desktop,BR,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000047,session_003212,user_0752,2024-12-01 08:43:19,scroll,search,tablet,US,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000048,session_003415,user_0958,2024-08-28 01:19:56,add_to_cart,search,desktop,US,0.0,Mozilla/5.0 (desktop) Browser/1.0,google.com
event_000049,session_002547,user_0337,2024-09-03 16:08:44,signup,search,tablet,JP,17.035696234800323,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000050,session_001559,user_0808,2024-06-10 22:16:33,purchase,search,tablet,FR,35.322174684320814,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000051,session_000707,user_0581,2024-11-01 18:44:02,purchase,checkout,tablet,DE,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000052,session_001248,user_0217,2024-03-27 13:29:11,purchase,search,mobile,IN,0.0,Mozilla/5.0 (mobile) Browser/1.0,twitter.com
event_000053,session_002823,user_0992,2024-12-19 22:40:33,page_view,blog,tablet,CA,13.252401255617308,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000054,session_001158,user_0695,2024-11-18 06:54:12,login,home,mobile,MX,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000055,session_004123,user_0282,2024-11-27 13:07:57,page_view,search,mobile,JP,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000056,session_001408,user_0992,2024-05-17 09:42:47,page_view,about,desktop,DE,7.18209307737424,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000057,session_001541,user_0664,2024-03-06 16:33:15,signup,home,tablet,BR,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000058,session_001735,user_0623,2024-04-22 08:48:50,click,profile,desktop,IN,46.986225365368526,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000059,session_002027,user_0800,2024-02-24 21:12:58,scroll,support,mobile,AU,44.71567937425524,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000060,session_003596,user_0443,2024-04-26 18:15:24,logout,blog,mobile,AU,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000061,session_001012,user_0348,2024-11-25 03:55:27,logout,about,desktop,CA,0.0,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000062,session_002410,user_0039,2024-08-16 17:16:03,scroll,search,mobile,FR,61.057485784502674,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000063,session_001648,user_0221,2024-09-14 00:40:04,add_to_cart,blog,mobile,IN,0.0,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000064,session_001286,user_1000,2024-04-18 23:03:59,logout,search,tablet,BR,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000065,session_000037,user_0721,2024-04-27 12:02:23,purchase,support,tablet,IN,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000066,session_004107,user_0316,2024-07-23 03:47:09,scroll,home,mobile,FR,39.683248194636654,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000067,session_000879,user_0868,2024-08-18 17:10:54,add_to_cart,home,mobile,JP,0.0,Mozilla/5.0 (mobile) Browser/1.0,twitter.com
event_000068,session_000337,user_0721,2024-04-23 15:40:15,purchase,profile,tablet,FR,65.41851410187633,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000069,session_004195,user_0443,2024-06-05 23:14:45,click,support,tablet,FR,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000070,session_000092,user_0795,2024-07-21 22:49:06,purchase,support,mobile,BR,5.832110992606776,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000071,session_004890,user_0183,2024-05-23 21:09:06,login,profile,tablet,AU,35.36114191713289,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000072,session_004615,user_0303,2024-02-24 18:34:58,click,blog,desktop,BR,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000073,session_000709,user_0979,2024-06-06 14:18:59,click,home,tablet,UK,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000074,session_000100,user_0974,2024-01-09 01:55:49,logout,checkout,tablet,FR,38.00559442729973,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000075,session_002373,user_0782,2024-06-03 14:02:36,page_view,checkout,tablet,UK,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000076,session_001175,user_0164,2024-08-10 02:33:49,add_to_cart,checkout,tablet,US,92.36316081821914,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000077,session_000858,user_0884,2024-03-13 11:17:41,scroll,support,mobile,DE,0.0,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000078,session_002004,user_0601,2024-02-11 11:08:04,page_view,support,mobile,UK,6.034549720113103,Mozilla/5.0 (mobile) Browser/1.0,twitter.com
event_000079,session_000271,user_0310,2024-12-06 07:20:29,login,about,tablet,IN,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000080,session_004066,user_0963,2024-08-07 18:50:27,page_view,support,tablet,IN,61.51284939369175,Mozilla/5.0 (tablet) Browser/1.0,email
event_000081,session_000526,user_0751,2024-11-28 21:22:12,add_to_cart,blog,desktop,BR,95.60157911677048,Mozilla/5.0 (desktop) Browser/1.0,email
event_000082,session_003241,user_0612,2024-09-25 04:14:47,login,home,tablet,US,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000083,session_003430,user_0356,2024-06-14 07:12:33,click,support,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000084,session_000931,user_0694,2024-03-02 14:23:33,page_view,about,tablet,US,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000085,session_001605,user_0065,2024-10-30 16:22:21,add_to_cart,product,mobile,US,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000086,session_004739,user_0522,2024-06-10 03:43:21,purchase,home,mobile,BR,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000087,session_000214,user_0900,2024-11-17 23:23:59,login,support,tablet,MX,79.60913929310655,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000088,session_000059,user_0915,2024-10-18 16:12:56,scroll,search,desktop,AU,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000089,session_002673,user_0401,2024-08-15 05:23:20,add_to_cart,checkout,mobile,MX,16.82382483917937,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000090,session_004365,user_0461,2024-10-21 17:04:44,login,checkout,tablet,MX,78.46701728267911,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000091,session_001416,user_0557,2024-07-05 18:56:23,add_to_cart,checkout,desktop,DE,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000092,session_002096,user_0295,2024-03-10 01:01:34,click,search,desktop,FR,0.0,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
event_000093,session_004511,user_0274,2024-04-22 16:06:32,add_to_cart,blog,desktop,CA,64.08839008608278,Mozilla/5.0 (desktop) Browser/1.0,email
event_000094,session_004399,user_0361,2024-12-16 19:00:19,signup,blog,mobile,AU,0.0,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000095,session_004473,user_0709,2024-01-16 18:22:37,page_view,about,tablet,CA,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000096,session_001422,user_0212,2024-10-29 18:15:28,logout,profile,desktop,MX,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000097,session_004286,user_0626,2024-12-13 01:42:03,add_to_cart,blog,tablet,UK,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000098,session_000139,user_0808,2024-12-15 17:52:34,login,profile,desktop,FR,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000099,session_000316,user_0109,2024-01-05 02:18:50,add_to_cart,about,mobile,DE,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000100,session_004760,user_0816,2024-08-25 04:14:46,purchase,product,desktop,MX,0.0,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
event_000101,session_000778,user_0936,2024-08-10 19:17:23,click,profile,mobile,US,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000102,session_004098,user_0768,2024-04-01 06:43:22,signup,profile,tablet,UK,10.999128823120063,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000103,session_003445,user_0701,2024-11-01 18:45:00,logout,search,mobile,MX,4.876089158204266,Mozilla/5.0 (mobile) Browser/1.0,twitter.com
event_000104,session_003323,user_0586,2024-08-20 07:57:49,click,profile,mobile,FR,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000105,session_002677,user_0223,2024-03-17 18:06:12,page_view,support,desktop,IN,17.41494522202933,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000106,session_000446,user_0056,2024-12-04 05:41:00,purchase,product,desktop,CA,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000107,session_001068,user_0534,2024-05-04 22:05:24,logout,support,mobile,US,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000108,session_001893,user_0461,2024-02-21 14:52:52,logout,product,mobile,AU,90.41390385458956,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000109,session_001558,user_0805,2024-03-07 17:12:00,page_view,product,desktop,MX,0.0,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000110,session_000991,user_0875,2024-12-30 14:12:49,signup,blog,mobile,AU,0.0,Mozilla/5.0 (mobile) Browser/1.0,twitter.com
event_000111,session_000378,user_0077,2024-03-19 17:30:49,click,blog,tablet,UK,7.360279260588243,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000112,session_000046,user_0807,2024-09-29 08:30:21,login,support,mobile,US,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000113,session_002933,user_0282,2024-01-03 05:19:30,logout,profile,desktop,AU,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000114,session_000712,user_0698,2024-12-06 18:27:55,logout,profile,mobile,MX,0.0,Mozilla/5.0 (mobile) Browser/1.0,twitter.com
event_000115,session_000896,user_0119,2024-12-13 15:54:37,page_view,checkout,desktop,BR,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000116,session_003083,user_0484,2024-06-07 07:39:07,click,home,desktop,IN,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000117,session_003468,user_0451,2024-06-21 19:09:56,scroll,search,mobile,AU,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000118,session_003000,user_0137,2024-09-21 03:01:35,add_to_cart,about,desktop,FR,66.42926134244654,Mozilla/5.0 (desktop) Browser/1.0,email
event_000119,session_000359,user_0085,2024-09-05 18:39:28,add_to_cart,product,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000120,session_001238,user_0080,2024-10-07 16:25:08,add_to_cart,about,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000121,session_001337,user_0386,2024-07-02 05:29:52,click,blog,tablet,CA,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000122,session_004293,user_0949,2024-05-12 06:33:41,click,support,mobile,BR,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000123,session_002042,user_0277,2024-01-07 12:51:59,add_to_cart,product,mobile,BR,0.0,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000124,session_000766,user_0884,2024-10-22 14:18:18,signup,checkout,tablet,DE,0.0,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000125,session_001287,user_0572,2024-11-20 11:53:59,signup,blog,tablet,DE,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000126,session_003601,user_0811,2024-09-24 13:02:24,click,profile,desktop,IN,0.0,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000127,session_002160,user_0717,2024-11-27 13:34:32,page_view,support,desktop,US,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000128,session_002541,user_0215,2024-11-11 23:47:10,page_view,blog,desktop,MX,0.0,Mozilla/5.0 (desktop) Browser/1.0,google.com
event_000129,session_001573,user_0033,2024-07-14 19:52:53,page_view,product,mobile,IN,0.0,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000130,session_004038,user_0836,2024-09-14 09:30:23,click,about,tablet,AU,10.42659000031383,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000131,session_000928,user_0854,2024-09-18 09:55:56,scroll,about,tablet,JP,22.165661198709387,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000132,session_004279,user_0948,2024-09-27 04:10:49,click,about,desktop,JP,93.75233295887011,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000133,session_003851,user_0043,2024-12-19 22:33:56,logout,blog,tablet,FR,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000134,session_002126,user_0329,2024-02-12 12:26:32,page_view,product,desktop,JP,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000135,session_002381,user_0015,2024-07-09 20:08:38,logout,home,desktop,AU,0.0,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000136,session_004529,user_0654,2024-05-23 09:57:21,signup,product,desktop,FR,87.00695952784994,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
event_000137,session_002221,user_0351,2024-03-29 13:19:24,scroll,search,mobile,MX,0.0,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000138,session_001000,user_0011,2024-06-25 02:14:35,add_to_cart,blog,mobile,AU,0.0,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000139,session_003575,user_0166,2024-08-18 10:48:50,signup,checkout,mobile,IN,95.2331839821926,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000140,session_003485,user_0449,2024-10-18 03:46:29,scroll,product,mobile,BR,0.0,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000141,session_004187,user_0697,2024-07-02 03:27:15,logout,home,mobile,CA,80.66939260756556,Mozilla/5.0 (mobile) Browser/1.0,email
event_000142,session_002848,user_0946,2024-12-09 15:26:52,login,checkout,tablet,BR,91.93498990643369,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000143,session_003202,user_0092,2024-12-18 06:35:32,scroll,product,desktop,US,0.0,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000144,session_002348,user_0101,2024-10-14 08:54:00,signup,blog,mobile,CA,92.54317450048076,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000145,session_003548,user_0259,2024-04-18 17:29:56,signup,blog,desktop,AU,3.37327255243669,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000146,session_002359,user_0014,2024-06-25 00:15:02,click,profile,mobile,CA,0.0,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000147,session_001833,user_0209,2024-07-29 09:26:44,logout,profile,desktop,CA,0.0,Mozilla/5.0 (desktop) Browser/1.0,google.com
event_000148,session_004066,user_0963,2024-08-07 18:43:04,page_view,about,tablet,IN,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000149,session_002631,user_0945,2024-10-24 21:45:19,logout,home,desktop,CA,80.07282224741714,Mozilla/5.0 (desktop) Browser/1.0,email
event_000150,session_001863,user_0277,2024-01-24 06:11:16,signup,product,tablet,DE,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000151,session_002279,user_0535,2024-06-30 21:28:14,signup,about,tablet,IN,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000152,session_001969,user_0730,2024-10-13 11:18:55,signup,profile,desktop,US,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000153,session_003840,user_0862,2024-07-24 01:19:34,logout,about,mobile,BR,66.48536505294686,Mozilla/5.0 (mobile) Browser/1.0,email
event_000154,session_002951,user_0535,2024-10-20 01:41:43,login,profile,desktop,MX,80.8650619102512,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000155,session_002619,user_0093,2024-02-17 02:47:38,signup,home,desktop,AU,0.0,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
event_000156,session_003881,user_0135,2024-10-14 00:38:20,click,product,tablet,JP,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000157,session_003259,user_0240,2024-02-02 14:02:39,add_to_cart,search,mobile,DE,0.0,Mozilla/5.0 (mobile) Browser/1.0,email
event_000158,session_002936,user_0006,2024-02-25 19:45:44,page_view,blog,desktop,DE,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000159,session_000266,user_0775,2024-01-09 20:14:56,login,about,mobile,IN,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000160,session_004113,user_0522,2024-11-06 02:01:33,signup,about,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000161,session_003262,user_0971,2024-03-08 07:19:12,page_view,support,desktop,FR,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000162,session_004961,user_0002,2024-08-06 07:03:14,scroll,search,tablet,AU,93.99080323833795,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000163,session_000740,user_0974,2024-08-20 19:21:06,login,search,desktop,UK,68.99978646714962,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000164,session_001454,user_0320,2024-11-21 17:20:03,page_view,home,mobile,IN,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000165,session_000729,user_0619,2024-03-08 19:39:30,scroll,product,tablet,CA,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000166,session_002721,user_0767,2024-07-11 07:35:03,scroll,checkout,mobile,US,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000167,session_001717,user_0010,2024-10-07 19:51:18,click,checkout,tablet,JP,0.0,Mozilla/5.0 (tablet) Browser/1.0,direct
event_000168,session_004082,user_0232,2024-04-24 08:56:59,login,home,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000169,session_004252,user_0902,2024-09-08 16:17:46,logout,product,mobile,CA,0.0,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000170,session_000951,user_0689,2024-02-24 08:55:32,click,profile,mobile,IN,17.446896803978863,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000171,session_001545,user_0567,2024-07-26 16:25:51,purchase,blog,tablet,IN,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000172,session_004014,user_0192,2024-11-14 13:23:07,signup,checkout,tablet,JP,0.0,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000173,session_002535,user_0941,2024-08-21 08:46:10,scroll,home,mobile,US,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000174,session_000284,user_0472,2024-03-06 08:33:03,purchase,about,mobile,CA,36.96159247270444,Mozilla/5.0 (mobile) Browser/1.0,email
event_000175,session_003730,user_0127,2024-06-12 21:38:59,signup,checkout,mobile,MX,0.0,Mozilla/5.0 (mobile) Browser/1.0,twitter.com
event_000176,session_004641,user_0363,2024-02-24 15:46:17,login,profile,mobile,DE,0.0,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000177,session_004707,user_0079,2024-10-07 08:02:40,login,about,tablet,IN,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000178,session_001832,user_0951,2024-08-02 14:58:38,signup,checkout,desktop,CA,0.0,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000179,session_004792,user_0441,2024-03-05 13:42:34,add_to_cart,checkout,desktop,JP,72.16602238032065,Mozilla/5.0 (desktop) Browser/1.0,google.com
event_000180,session_003459,user_0768,2024-03-21 02:24:18,click,checkout,tablet,FR,0.0,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000181,session_001960,user_0201,2024-11-17 06:52:33,click,product,desktop,CA,0.0,Mozilla/5.0 (desktop) Browser/1.0,google.com
event_000182,session_001960,user_0201,2024-11-17 06:58:16,purchase,home,desktop,CA,47.54240090263877,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
event_000183,session_003055,user_0749,2024-08-15 05:32:28,scroll,search,desktop,DE,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000184,session_002284,user_0893,2024-12-22 16:13:21,signup,product,mobile,IN,13.943389671128925,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000185,session_001485,user_0905,2024-03-07 19:55:25,scroll,home,mobile,UK,0.0,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000186,session_004290,user_0291,2024-06-10 15:35:50,add_to_cart,home,desktop,CA,0.0,Mozilla/5.0 (desktop) Browser/1.0,email
event_000187,session_002493,user_0433,2024-10-20 10:10:13,click,profile,tablet,JP,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000188,session_002893,user_0440,2024-05-08 05:03:11,add_to_cart,profile,desktop,IN,0.0,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
